PROV,VAR_ANUAL_POB,PORC_60_MAS,PORC_EDAD_DEMANDA,PORC_EUROPEOS_NO_ESP,PORC_RESTO_EXTRANJEROS,INTENSIDAD_VIV,CLUSTER_RAW,PRECIO_M2
Gipuzkoa,0.27286521739130437,30.34479565217391,30.775591304347827,0.5605217391304348,8.569534782608695,9.635217391304348,2,3358.8695652173915
Girona,1.3140521739130435,24.982747826086957,34.23781304347826,2.4796347826086955,18.53708695652174,15.703913043478261,1,2115.4552173913044
Granada,0.49872608695652176,25.856260869565215,33.71893043478261,1.0204652173913045,7.183469565217391,13.01391304347826,3,1226.6534782608694
Guadalajara,1.5845478260869565,22.70215652173913,35.50939130434783,0.5928260869565217,14.545008695652175,15.085217391304347,1,1172.2252173913043
Huelva,0.4856260869565217,24.021173913043476,35.30244347826088,0.4968913043478261,9.978117391304348,12.628260869565217,1,1237.0286956521738
Huesca,0.6468217391304347,29.85207391304348,32.02429565217391,0.6927826086956521,13.342560869565217,13.511739130434782,1,1442.1843478260869
Illes Balears,1.2090521739130435,22.34978695652174,38.11954347826087,2.254873913043478,18.229265217391305,11.80782608695652,1,3102.6278260869567
Jaén,-0.3756826086956521,27.90646086956522,32.12819130434782,0.23061304347826087,3.072673913043478,9.388260869565217,3,741.8926086956521
La Rioja,0.5200695652173913,28.711743478260868,32.218991304347824,0.9478,12.820465217391304,13.32521739130435,1,1189.7795652173913
Las Palmas,0.6958956521739131,23.258408695652175,36.4602652173913,1.5646608695652175,12.039178260869564,10.466086956521739,1,2125.9560869565216
León,-0.3882260869565217,36.71125652173913,28.851021739130434,0.25886086956521737,5.044191304347826,9.642608695652173,2,941.9004347826086
Lleida,0.9096652173913043,26.324391304347827,33.658065217391304,1.305295652173913,18.4557,10.974782608695651,1,1270.8478260869565
Lugo,-0.12306521739130434,37.66959565217391,29.508739130434783,0.23729130434782608,6.038365217391304,7.389130434782608,2,990.21
Madrid,1.134408695652174,24.50073913043478,35.735395652173914,0.7663130434782609,14.350808695652175,10.75,1,3143.41
Melilla,0.13044782608695654,17.564895652173913,34.26317391304348,0.16914782608695653,13.464352173913042,6.824347826086957,3,1786.2230434782607
Murcia,0.9843608695652174,22.379586956521738,34.974634782608696,1.8320304347826086,13.346482608695654,13.256521739130434,1,1100.9060869565217
Málaga,1.2186565217391305,24.80648260869565,34.6719652173913,4.769878260869565,12.844534782608696,19.055217391304346,4,2377.1178260869565
Navarra,0.7259347826086957,26.91291304347826,32.385747826086956,0.6365086956521739,11.3247,9.489565217391304,3,1837.6708695652173
Ourense,-0.08838695652173911,39.44317391304348,28.476673913043477,0.2071608695652174,6.2201956521739135,6.293913043478261,2,954.3100000000001
Palencia,-0.21319565217391306,35.59313043478261,29.12738260869565,0.2497,5.386547826086956,10.663913043478262,2,925.8339130434782
Pontevedra,0.07368695652173914,30.77114347826087,32.4954347826087,0.21884782608695652,4.534456521739131,6.704782608695653,3,1643.7591304347825
Salamanca,-0.15261304347826088,35.353760869565214,28.819556521739127,0.2864695652173913,5.416182608695652,10.128260869565217,2,1221.2426086956523
Santa Cruz de Tenerife,0.8094086956521739,25.086730434782606,36.033847826086955,2.167691304347826,12.673013043478262,10.624782608695652,1,2127.521304347826
Segovia,0.5188521739130435,30.679795652173915,30.756134782608697,0.4044913043478261,12.581517391304347,14.246521739130435,2,1010.6126086956522
Sevilla,0.29714782608695656,23.92326086956522,34.24324782608696,0.34297826086956523,4.280782608695652,10.749130434782609,3,1427.2878260869566
Soria,0.22349565217391307,33.199778260869564,29.653643478260868,0.5046826086956522,10.911308695652174,12.339130434782609,2,1069.2091304347828
Tarragona,1.380191304347826,26.003626086956523,33.62394782608696,1.8305173913043478,15.986204347826087,16.203478260869566,1,1544.7586956521739
Teruel,0.2853565217391304,31.750982608695654,30.58231304347826,0.5849565217391305,11.782634782608696,9.917391304347825,2,812.4134782608695
Toledo,1.3103304347826086,24.528021739130434,34.236586956521734,0.3664869565217391,11.448447826086957,14.297826086956523,1,809.5760869565217
Valencia / València,1.2722478260869565,26.18528260869565,34.047186956521735,1.5616260869565217,11.815995652173912,12.800869565217392,2,1313.0652173913043
Valladolid,0.2651913043478261,31.543013043478258,30.771208695652174,0.2181304347826087,6.2404086956521745,10.700434782608696,2,1388.5495652173913
Zamora,-0.6773913043478261,40.19666956521739,27.3022652173913,0.1595173913043478,4.528608695652174,8.3,2,847.6221739130435
Zaragoza,0.5094173913043478,28.43005652173913,32.688847826086956,0.4619391304347826,13.192869565217391,10.861304347826087,3,1597.6391304347824
Ávila,0.2031521739130435,34.52864782608696,29.011860869565215,0.2315913043478261,7.847560869565217,12.173478260869565,2,855.0408695652173
